imdb_id,popularity,budget,revenue,original_title,cast,keywords,runtime,genres,production_companies,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,release_month,imdb_rating,imdb_votes
tt0369610,32.985763,150000000.0,1513528810.0,Jurassic World,"['Chris Pratt', 'Bryce Dallas Howard', 'Irrfan Khan', ""Vincent D'Onofrio"", 'Nick Robinson']","['monster', 'dna', 'tyrannosaurus rex', 'velociraptor', 'island']",124.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Universal Studios', 'Amblin Entertainment', 'Legendary Pictures', 'Fuji Television Network', 'Dentsu']",6/9/15,5562,6.5,2015,137999939.280026,1392445892.5238,6,7.0,580217
tt1392190,28.419936,150000000.0,378436354.0,Mad Max: Fury Road,"['Tom Hardy', 'Charlize Theron', 'Hugh Keays-Byrne', 'Nicholas Hoult', 'Josh Helman']","['future', 'chase', 'post-apocalyptic', 'dystopia', 'australia']",120.0,"['Action', 'Adventure', 'Science Fiction', 'Thriller']","['Village Roadshow Pictures', 'Kennedy Miller Productions']",5/13/15,6185,7.1,2015,137999939.280026,348161292.489031,5,8.1,884401
tt2908446,13.112507,110000000.0,295238201.0,Insurgent,"['Shailene Woodley', 'Theo James', 'Kate Winslet', 'Ansel Elgort', 'Miles Teller']","['based on novel', 'revolution', 'dystopia', 'sequel', 'dystopic future']",119.0,"['Adventure', 'Science Fiction', 'Thriller']","['Summit Entertainment', 'Mandeville Films', 'Red Wagon Entertainment', 'NeoReel']",3/18/15,2480,6.3,2015,101199955.47201899,271619025.407628,3,6.2,218262
tt2488496,11.173103999999999,200000000.0,2068178225.0,Star Wars: The Force Awakens,"['Harrison Ford', 'Mark Hamill', 'Carrie Fisher', 'Adam Driver', 'Daisy Ridley']","['android', 'spaceship', 'jedi', 'space opera', '3d']",136.0,"['Action', 'Adventure', 'Science Fiction', 'Fantasy']","['Lucasfilm', 'Truenorth Productions', 'Bad Robot']",12/15/15,5292,7.5,2015,183999919.040035,1902723129.80182,12,7.9,862213
tt2820852,9.335014,190000000.0,1506249360.0,Furious 7,"['Vin Diesel', 'Paul Walker', 'Jason Statham', 'Michelle Rodriguez', 'Dwayne Johnson']","['car race', 'speed', 'revenge', 'suspense', 'car']",137.0,"['Action', 'Crime', 'Thriller']","['Universal Pictures', 'Original Film', 'Media Rights Capital', 'Dentsu', 'One Race Films']",4/1/15,2947,7.3,2015,174799923.08803302,1385748801.47052,4,7.1,359951
tt1663202,9.1107,135000000.0,532950503.0,The Revenant,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson', 'Paul Anderson']","['father-son relationship', 'rape', 'based on novel', 'mountains', 'winter']",156.0,"['Western', 'Drama', 'Adventure', 'Thriller']","['Regency Enterprises', 'Appian Way', 'CatchPlay', 'Anonymous Content', 'New Regency Pictures']",12/25/15,3929,7.2,2015,124199945.352024,490314247.02173096,12,8.0,707480
tt1340138,8.654359,155000000.0,440603537.0,Terminator Genisys,"['Arnold Schwarzenegger', 'Jason Clarke', 'Emilia Clarke', 'Jai Courtney', 'J.K. Simmons']","['saving the world', 'artificial intelligence', 'cyborg', 'killer robot', 'future']",125.0,"['Science Fiction', 'Action', 'Thriller', 'Adventure']","['Paramount Pictures', 'Skydance Productions']",6/23/15,2598,5.8,2015,142599937.256027,405355075.683766,6,6.3,260049
tt3659388,7.6674,108000000.0,595380321.0,The Martian,"['Matt Damon', 'Jessica Chastain', 'Kristen Wiig', 'Jeff Daniels', 'Michael PeÃ±a']","['based on novel', 'mars', 'nasa', 'isolation', 'botanist']",141.0,"['Drama', 'Adventure', 'Science Fiction']","['Twentieth Century Fox Film Corporation', 'Scott Free Productions', 'Mid Atlantic Films', 'International Traders', 'TSG Entertainment']",9/30/15,4572,7.6,2015,99359956.2816192,547749654.3101519,9,8.0,761740
tt2293640,7.40416499999999,74000000.0,1156730962.0,Minions,"['Sandra Bullock', 'Jon Hamm', 'Michael Keaton', 'Allison Janney', 'Steve Coogan']","['assistant', 'aftercreditsstinger', 'duringcreditsstinger', 'evil mastermind', 'minions']",91.0,"['Family', 'Animation', 'Adventure', 'Comedy']","['Universal Pictures', 'Illumination Entertainment']",6/17/15,2893,6.5,2015,68079970.0448131,1064192016.7955099,6,6.4,212657
tt2096673,6.326804,175000000.0,853708609.0,Inside Out,"['Amy Poehler', 'Phyllis Smith', 'Richard Kind', 'Bill Hader', 'Lewis Black']","['dream', 'cartoon', 'imaginary friend', 'animation', 'kid']",94.0,"['Comedy', 'Animation', 'Family']","['Walt Disney Pictures', 'Pixar Animation Studios', 'Walt Disney Studios Motion Pictures']",6/9/15,3935,8.0,2015,160999929.16003102,785411574.698907,6,8.1,618335
tt2379713,6.200282,245000000.0,880674609.0,Spectre,"['Daniel Craig', 'Christoph Waltz', 'LÃ©a Seydoux', 'Ralph Fiennes', 'Monica Bellucci']","['spy', 'based on novel', 'secret agent', 'sequel', 'james bond']",148.0,"['Action', 'Adventure', 'Crime']","['Columbia Pictures', 'Danjaq', 'B24']",10/26/15,3254,6.2,2015,225399900.824043,810220283.783075,10,6.8,385440
tt1617661,6.189369,176000003.0,183987723.0,Jupiter Ascending,"['Mila Kunis', 'Channing Tatum', 'Sean Bean', 'Eddie Redmayne', 'Douglas Booth']","['jupiter', 'space', 'woman director', '3d', 'interspecies romance']",124.0,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']","['Village Roadshow Pictures', 'Dune Entertainment', 'Anarchos Productions', 'Warner Bros.']",2/4/15,1937,5.2,2015,161919931.51523,169268630.681802,2,5.3,179271
tt0470752,6.118847,15000000.0,36869414.0,Ex Machina,"['Domhnall Gleeson', 'Alicia Vikander', 'Oscar Isaac', 'Sonoya Mizuno', 'Corey Johnson']","['dancing', 'artificial intelligence', 'helicopter', 'distrust', 'isolation']",108.0,"['Drama', 'Science Fiction']","['DNA Films', 'Universal Pictures International (UPI)', 'Film4']",1/21/15,2854,7.6,2015,13799993.9280026,33919845.9552677,1,7.7,475170
tt2120120,5.984995,88000000.0,243637091.0,Pixels,"['Adam Sandler', 'Michelle Monaghan', 'Peter Dinklage', 'Josh Gad', 'Kevin James']","['video game', 'nerd', 'alien attack', '3d', 'pixels']",105.0,"['Action', 'Comedy', 'Science Fiction']","['Columbia Pictures', 'Happy Madison Productions']",7/16/15,1575,5.8,2015,80959964.37761559,224146025.095748,7,5.5,132238
tt2395427,5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,"['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans', 'Scarlett Johansson']","['marvel comic', 'comic', 'sequel', 'superhero', 'vision']",141.0,"['Action', 'Adventure', 'Science Fiction']","['Marvel Studios', 'Prime Focus', 'Revolution Sun Studios']",4/22/15,4304,7.4,2015,257599886.656049,1292632336.88177,4,7.3,744062
tt3460252,5.8984,44000000.0,155760117.0,The Hateful Eight,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins', 'DemiÃ¡n Bichir']","['bounty hunter', 'wyoming', 'mountains', 'hangman', 'voice over narration']",167.0,"['Crime', 'Drama', 'Mystery', 'Western']","['Double Feature Films', 'The Weinstein Company', 'FilmColony']",12/25/15,2389,7.4,2015,40479982.18880779,143299244.588332,12,7.8,518724
tt2446042,5.749758,48000000.0,325771424.0,Taken 3,"['Liam Neeson', 'Forest Whitaker', 'Maggie Grace', 'Famke Janssen', 'Dougray Scott']","['revenge', 'murder', 'on the run', 'fugitive', 'framed']",109.0,"['Crime', 'Action', 'Thriller']","['Twentieth Century Fox Film Corporation', 'M6 Films', 'Canal+', 'EuropaCorp', 'CinÃ©+']",1/1/15,1578,6.1,2015,44159980.5696085,299709578.207785,1,6.0,179401
tt0478970,5.5731839999999995,130000000.0,518602163.0,Ant-Man,"['Paul Rudd', 'Michael Douglas', 'Evangeline Lilly', 'Corey Stoll', 'Bobby Cannavale']","['marvel comic', 'superhero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe']",115.0,"['Science Fiction', 'Action', 'Adventure']",['Marvel Studios'],7/14/15,3779,7.0,2015,119599947.376023,477113780.029936,7,7.3,571834
tt1661199,5.556818,95000000.0,542351353.0,Cinderella,"['Lily James', 'Cate Blanchett', 'Richard Madden', 'Helena Bonham Carter', 'Holliday Grainger']","['cinderella', 'magic', 'fairy tale', 'princess', 'shoe']",112.0,"['Romance', 'Fantasy', 'Family', 'Drama']","['Walt Disney Pictures', 'Genre Films', 'Beagle Pug Films', 'Allison Shearmur Productions']",3/12/15,1495,6.8,2015,87399961.54401691,498963025.21626794,3,6.9,161278
tt1951266,5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,"['Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks']","['revolution', 'strong woman', 'dystopia', 'game of death', '3d']",136.0,"['War', 'Adventure', 'Science Fiction']","['Studio Babelsberg', 'StudioCanal', 'Lionsgate', 'Walt Disney Studios Motion Pictures', 'Color Force']",11/18/15,2380,6.5,2015,147199935.232028,598481289.508232,11,6.6,287600
tt1964418,5.4621379999999995,190000000.0,209035668.0,Tomorrowland,"['Britt Robertson', 'George Clooney', 'Raffey Cassidy', 'Thomas Robinson', 'Hugh Laurie']","['inventor', 'apocalypse', 'destiny', 'imax', 'dreamer']",130.0,"['Action', 'Family', 'Science Fiction', 'Adventure', 'Mystery']","['Walt Disney Pictures', 'Babieka', 'A113']",5/19/15,1899,6.2,2015,174799923.08803302,192312729.942398,5,6.4,172262
tt1798684,5.337064,30000000.0,91709827.0,Southpaw,"['Jake Gyllenhaal', 'Rachel McAdams', 'Forest Whitaker', 'Oona Laurence', '50 Cent']",['sport'],123.0,"['Action', 'Drama']","['Escape Artists', 'Riche-Ludwig Productions']",6/15/15,1386,7.3,2015,27599987.856005296,84373003.7158783,6,7.4,218301
tt2126355,4.907832,110000000.0,470490832.0,San Andreas,"['Dwayne Johnson', 'Alexandra Daddario', 'Carla Gugino', 'Ioan Gruffudd', 'Archie Panjabi']","['california', 'earthquake', 'catastrophe', 'disaster film', '3d']",114.0,"['Action', 'Drama', 'Thriller']","['New Line Cinema', 'Village Roadshow Pictures', 'Warner Bros.', 'Flynn Picture Company']",5/27/15,2060,6.1,2015,101199955.47201899,432851374.985395,5,6.1,213290
